imdb_genres,avg_rating
"Action,Fantasy,Western",2.7
"Adventure,Crime,Horror",2.9
"Sci-Fi,Thriller,War",3.2
"Horror,Sci-Fi,Western",3.4
"Adventure,Sci-Fi,Western",3.7
"Action,Horror,Western",3.8
"Adult,Horror",4
"Horror,Music,Thriller",4.05
"Adventure,Crime,Fantasy",4.1
"Comedy,Family,Horror",4.13
"Horror,War",4.2
"Music,Musical,Sci-Fi",4.3
"Horror,Thriller,War",4.3
"Action,Sport",4.3
"Action,Fantasy",4.3
"Crime,Fantasy,Horror",4.33
"Short,Western",4.5
"Action,Horror,Thriller",4.61
"Action,Romance,Sci-Fi",4.7
"Horror,Romance,Thriller",4.73
"Action,Fantasy,Sci-Fi",4.74
"Adventure,Biography,History",4.8
"Adventure,Sci-Fi,Thriller",4.85
"Adventure,Comedy,Horror",4.86
"Drama,Sci-Fi,Sport",4.9
"Action,Family",4.9
"Family,Horror,Sci-Fi",4.95
"Adventure,Horror,Sci-Fi",5.02
"Action,Sci-Fi,Sport",5.03
"Action,Comedy,Family",5.04
"Action,Drama,Music",5.05
Adventure,5.06
Action,5.06
"Family,Fantasy,Sci-Fi",5.1
"Drama,Fantasy,Sci-Fi",5.1
"Adventure,Fantasy,Horror",5.1
"Action,Horror",5.1
"Fantasy,Horror,Thriller",5.14
"Crime,Horror",5.14
"Action,Family,Fantasy",5.15
"Comedy,Family,Sport",5.16
"Adventure,Horror,Thriller",5.17
Horror,5.18
"Comedy,Horror,Thriller",5.18
"Action,Crime,Fantasy",5.18
"Documentary,Romance,Short",5.2
"Adventure,Fantasy,Western",5.2
"Action,Adventure,Horror",5.2
"Comedy,Family,Music",5.21
"Fantasy,Mystery,Thriller",5.23
"Horror,Thriller",5.24
"Comedy,Mystery,Sci-Fi",5.25
"Horror,Sci-Fi",5.26
"Horror,Sci-Fi,Thriller",5.27
"Action,Comedy,Sci-Fi",5.28
"Adventure,Music,Romance",5.3
"Action,Sport,Thriller",5.3
"Action,Sci-Fi,Thriller",5.3
"Action,Drama,Musical",5.3
"Fantasy,Horror,Sci-Fi",5.31
"Action,Horror,Sci-Fi",5.31
"Comedy,Crime,Family",5.32
"Action,Thriller,War",5.34
"Horror,Thriller,Western",5.37
"Crime,Horror,Thriller",5.38
"Comedy,Horror",5.39
"Mystery,Sci-Fi",5.4
"Music,Romance,Western",5.4
"Horror,Romance,Sci-Fi",5.4
"Drama,Music,Sci-Fi",5.4
"Crime,Film-Noir,Horror",5.4
"Comedy,Fantasy,Horror",5.4
"Comedy,Family,Sci-Fi",5.4
"Animation,Comedy,Thriller",5.4
"Action,Adventure,Fantasy",5.43
"Action,Sci-Fi",5.45
"Action,Thriller",5.46
"Action,Fantasy,Horror",5.46
"Fantasy,Horror",5.47
"Adventure,Horror",5.47
"Comedy,Sci-Fi",5.49
"Drama,Family,Music",5.5
"Action,Comedy,Horror",5.55
"Adventure,Fantasy",5.56
"Comedy,Horror,Sci-Fi",5.58
"Comedy,Horror,Mystery",5.59
Thriller,5.6
"Family,Sci-Fi",5.6
"Crime,Sci-Fi,Thriller",5.6
"Biography,Comedy,Musical",5.6
"Adventure,Romance,Thriller",5.6
"Adventure,Comedy,Mystery",5.6
"Action,Family,Sci-Fi",5.6
"Action,Crime,Music",5.6
"Drama,Horror,Thriller",5.61
"Action,Adventure,Comedy",5.61
"Comedy,Family,Fantasy",5.62
"Action,Horror,Mystery",5.62
Sci-Fi,5.63
"Horror,Mystery,Sci-Fi",5.63
"History,War",5.63
"Adventure,Crime",5.63
"Sci-Fi,Thriller",5.64
"Horror,Mystery,Thriller",5.64
"Comedy,Horror,Music",5.64
"Adventure,Sci-Fi",5.64
"Adventure,Fantasy,Sci-Fi",5.66
